con_Adelaide.xml
==============================
talk="p": 	Hey, Adelaide! How are you holding up?
talk="n": 	I knew you would side with the Demon. You're about to be put to shame. These townspeople are firm believers in the Great Goddess and won't falter from their belief. It's sad that you have to waste their time.
talk="p": 	I think you'll soon see the error of your ways. Any goddess would not tolerate the mistreatment of a fellow person.
talk="n": 	You've done it now.
talk="p": 	Yes, I've done something good for the town of Nulato. Stop making your own personal prejudices affect everyone else's good moral values.
talk="p": 	Why do you hate Tanvir so much?
talk="n": 	It's not that I hate him. It's just that I don't trust him.
talk="p": 	Why?
talk="n": 	It might be because of something that happened to me as a child. I was in the forest, and suddenly, a wolf attacked me. Luckily, I hid up in a tree where he couldn't get me. I've had a fear of wolves ever since.
talk="p": 	I see. That doesn't give you the right to discriminate, though.
talk="p": 	Tell me more about your religion.
talk="n": 	What don't you know? The Great Goddess sent 21 dukes from the Kingdom down to Earth and they each met a different fate. Their fate showcases the wrong of the world and how to avoid it. All evil in the world in manifested through the Demon. The Cerzan is a collection of the accounts of the dukes.
talk="p": 	Wow. Sounds complicated.
con_Jin.xml
==============================
talk="n": 	You feeling lucky? Try your hand at the cards.
talk="p": 	I can't afford to gamble.
talk="n": 	That's a real shame.
talk="p": 	Do you sell whiskey here?
talk="n": 	SHHH! Keep your voice down! Where did you hear about that?
talk="p": 	A friend of mine told me.
talk="n": 	I hope they don't tell anyone else! There's a harsh ban on hard whiskey in this country and a large bounty for turning in criminals selling the stuff.
talk="p": 	...can I have some?
talk="n": 	Why does a young lady such as yourself want such potent alcoholics?
talk="p": 	It's for someone else. They won't help unless I give them some.
talk="n": 	Hmmm... I don't give anything away for free. If you promise to keep quiet and beat me at a game, I'll give you some. Sound good?
talk="p": 	Yeah!
talk="n": 	Let's play a game of rock, paper, scissors! Win three in a row and you'll get a fine prize!
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Paper)... I win! Try again!
talk="n": 	Shoot! (Rock vs. Scissors)... You win. That's one of the three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Paper)... I win! Try again!
talk="n": 	Shoot! (Rock vs. Scissors)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Scissors)... I win! Try again!
talk="n": 	Shoot! (Paper vs. Rock)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Rock)... I win! Try again!
talk="n": 	Shoot! (Scissors vs. Paper)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Scissors)... I win! Try again!
talk="n": 	Shoot! (Paper vs. Rock)... You win. That's one of the three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Paper)... I win! Try again!
talk="n": 	Shoot! (Rock vs. Scissors)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Scissors)... I win! Try again!
talk="n": 	Shoot! (Paper vs. Rock)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Rock)... I win! Try again!
talk="n": 	Shoot! (Scissors vs. Paper)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Rock)... I win! Try again!
talk="n": 	Shoot! (Scissors vs. Paper)... You win. That's one of the three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Paper)... I win! Try again!
talk="n": 	Shoot! (Rock vs. Scissors)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Scissors)... I win! Try again!
talk="n": 	Shoot! (Paper vs. Rock)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Rock)... I win! Try again!
talk="n": 	Shoot! (Scissors vs. Paper)... You win. That's two out of three.
talk="n": 	Rock, paper, scissors...
talk="p": 	(Rock)
talk="n": 	Shoot! (Rock vs. Scissors)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Paper)
talk="n": 	Shoot! (Paper vs. Rock)... You win. Wait just a moment while I get your prize out from the back.
talk="p": 	(Scissors)
talk="n": 	Shoot! (Scissors vs. Paper)... You win. Wait just a moment while I get your prize out from the back.
talk="n": 	Here it is. A bottle of the hardest liquor on the market. Tell your friend that I don't envy them.
talk="n": 	Let's play a game of blackjack, just for fun.
talk="p": 	Sure!
talk="n": 	First card is a 3.
talk="p": 	Hit.
talk="n": 	You have a 3 and a Jack.
talk="p": 	Hit.
talk="n": 	You have a 3, Jack, and a 6.
talk="p": 	Stand.
talk="n": 	Let's see what I have... a Ten, and a Queen. I win!
talk="n": 	First card is a Ten.
talk="p": 	Hit.
talk="n": 	You have a Ten and an Ace.
talk="p": 	Stand.
talk="n": 	Let's see what I have... a 7, a 7, and a King. You win...
talk="n": 	First card is a 5.
talk="p": 	Hit.
talk="n": 	You have a 5 and a King.
talk="p": 	Hit.
talk="n": 	You have a 5, a King, and a 9. You bust, and I win!
talk="p": 	Nah.
con_Jun.xml
==============================
talk="n": 	Sister!
talk="p": 	What? Oh, hi. I didn't see you there.
talk="n": 	Yes you did! You liar!
talk="n": 	Sister, what does "psychological" mean?
talk="p": 	Where did you hear that word from?
talk="n": 	I read it in one of your books. Tell me what it means!
talk="p": 	It means what goes on in your head.
talk="n": 	Oh, like brain stuff?
talk="p": 	Yep. Just like that.
talk="n": 	Sister, do you know what time it is?
talk="p": 	Well, you're up so it must be after 10:00.
talk="n": 	Yeah, it's almost 12:00! What took you so long to get up? I was so bored!
talk="p": 	Sorry. Sleep happens.
con_Kalliope.xml
==============================
talk="p": 	Hey, Kalliope. How's it going?
talk="n": 	Hiya!
talk="p": 	You selling a lot of music?
talk="n": 	Not enough to quit my part time job, but enough to make me feel as though I am having an impact on the world.
talk="p": 	It must be a great feeling to have loving fans who await hearing more of your beautiful voice, including me.
talk="n": 	It sure is!
talk="p": 	You write any new songs recently?
talk="n": 	I've just recently composed a new CD full of songs. You want to give one a listen? I'll perform part of one live for you.
talk="p": 	Sure!
talk="p": 	Kings and Queens.
talk="n": 	The kings and queens are running wild, lonely for each other. Princes gallant, are no more staying under cover. Jesters' jokes aren't even funny, poking fun at sorrow. Lords and ladies hoard their riches fearful for tomorrow.
talk="p": 	Mr. Pine.
talk="n": 	Oh, Mr. Pine doesn't wait till after nine. There's not a friend he's had to buy. Keeps his head above the sky. Ain't got much, and he don't ask why.
talk="p": 	Mother Russia.
talk="n": 	Pays the price, works the seasons through. Frozen days, he thinks of you. Cold as ice, but he burns for you. Mother Russia, can't you hear him too?
talk="p": 	Your music always is so deep in meaning. I love it!
talk="p": 	I just adore your music.
talk="n": 	Emere, you've said that at least 30 times already. I get it.
talk="p": 	Words can't describe how perfect your music is. It conveys every thought and idea ever conceived on this planet.
talk="n": 	I just try my best to create unique music with unusual tempos to spice up the music world.
talk="p": 	Well, you're doing a fabulous job.
talk="p": 	Hey, can you help me out?
talk="n": 	Sure, anything for my good friend.
talk="p": 	Can I record you singing a song I have? It's a beautiful song that I want to hear sung in your voice.
talk="n": 	Sure...These lyrics seem like something I would write. Huh. Anyway, I've got recording equipment here and a CD you can use.
talk="p": 	Excellent! Thanks.
talk="n": 	Here goes nothing.
talk="n": 	Tried to take it all away. Learn her freedom just inside a day. And find her soul. To find their fears allayed.
talk="n": 	Sleeping dreams will reach for her. She cannot say the words they need. She knows she's alone. And she is free.
talk="n": 	Then she met a hollow soul. Filled him with her light. And was consoled she was the moon. And he, the sun was gold.
talk="p": 	That sounded amazing! Thank you!
talk="n": 	It was nothing.
con_Kanna.xml
==============================
talk="p": 	Hello, Kanna.
talk="n": 	Good Morning, Sis! You sleep well?
talk="p": 	Yes, I slept wonderfully.
talk="n": 	You sure did! It's 10:00! I thought you would never get up!
talk="p": 	I need my beauty sleep, Kanna.
talk="p": 	No, I had this weird dream last night.
talk="n": 	About what, our creepy neighbor?
talk="p": 	I said a weird dream, not a nightmare. It probably has some cryptic meaning into my future.
talk="n": 	Maybe you shouldn't eat pizza before going to bed.
talk="n": 	Hey, Sis! You're just in time for lunch. Today it's curry! My favorite!
talk="p": 	We eat curry too often because of you.
talk="n": 	Aww come on, Sis. It's only the third time this week!
talk="n": 	Sis! How's it going?
talk="p": 	I'm good. You're always so lively in the mornings.
talk="n": 	Must be because of all the sugar I eat!
talk="p": 	You have anything you want, Kanna?
talk="n": 	What do you mean, Sis?
talk="p": 	Do you want to travel to anywhere?
talk="n": 	Sis, what kind of question is that? You know I want to go to Japan!
talk="p": 	Any new food you want to try?
talk="n": 	Hmm...
talk="n": 	Well, there is a candy I saw last month that looks so cool! An old lady was giving some to her grandson when I passed by. I wanted to try some, but I haven't been able to find it anywhere else for months.
talk="p": 	(What an obscure request...) You got it! I'll find it for you.
talk="n": 	I'll be surprised if you find it, Sis.
talk="p": 	I mean anything at all that you desire.
talk="n": 	Then I'd like a TV, a pony, a spaceship, a--
talk="p": 	Okay, okay! Never mind.
talk="p": 	Hey, Kanna...
talk="p": 	Do you remember what today is?
talk="n": 	I do... I don't want to though.
talk="p": 	Sorry I brought it up.
talk="p": 	What was it you said you wanted again?
talk="n": 	You've forgotten already? Wow, Sis. Wow. I wanted some candy that an old lady had. I don't know the details of where she is or if she even has anymore.
talk="p": 	I'll beat the odds and find it.
talk="p": 	Mrs. Nakamura gave me some of the candy you wanted. It's called konpeito. Try some.
talk="n": 	Whoa! Just as cool as I remembered it! I'll try some...
talk="n": 	...
talk="p": 	Well? Go on, say something.
talk="n": 	 IT'S SOOOOOOOOO GOOOOOOOOOOOOOD!!!!!! I've never tasted a sweet this good! Thanks, Sis!
talk="p": 	(So loud!) No problem, Kanna. Make sure you thank Mrs. Nakamura.
talk="n": 	Don't you worry. I'll be over there every day of the week now to eat this stuff! We'll become best buds!
talk="p": 	That's great to hear. She needs some cheering up. Be nice to her.
talk="n": 	You betcha, Sis!
talk="p": 	Guess who I met this morning?
talk="n": 	Mrs. Nakamura?! Did you get more konpeito? You gotta share some, Sis!
talk="p": 	You've got to calm down. You've had that candy nonstop on your mind ever since I gave you some.
talk="p": 	I visited Dad.
talk="n": 	Oh, okay...
talk="p": 	Still recovering from that candy?
talk="n": 	I'll never fully recover! It was just that great! Now I want to go to Japan even more!
talk="p": 	And do what?
talk="n": 	Eat all kinds of food and learn about their culture! I love everything Japanese! I want to be Japanese when I grow up!
talk="p": 	...I don't think that's how it works.
con_Kenji.xml
==============================
talk="n": 	Welcome, Emere! What can I get you?
talk="p": 	What do you sell on this side?
talk="n": 	I've got everything you need on a day to day basis. I have food, water, clothes, and books, all available at the lowest price. I also sell fun things like board games and trading cards, as well as miscellaneous items. Take a look around, I guarantee if it's something general, Kenji has it.
talk="Arlo": 	He doesn't have any of the latest technology, though.
talk="n": 	Of course I don't. That's your specialty. Stop trying to steal my customers.
talk="p": 	Why not just have one store?
talk="n": 	The plan was to have one store, but somebody (cough-cough Arlo cough) thought it would be better to split it into two.
talk="Arlo": 	Hey, I don't think that's the reason. I thought we agreed that we're both very competitive and have slightly different interests. So working together to run it as one store would be a train wreck.
talk="p": 	I think you guys made the right choice.
talk="p": 	Anything on sale?
talk="n": 	Everything is always a discounted price. However, we've got a 50% off sale on all fruits. It's becoming winter soon and we need to sell all of it.
talk="Arlo": 	I've got some laptops on sale on my side.
talk="n": 	No one asked you, Arlo.
talk="Arlo": 	Hey, I'm just trying to make a living here.
talk="p": 	Do you have any trading cards for sale?
talk="n": 	#5.00 for a pack of 3. You looking to buy some?
talk="p": 	Yeah. Here's the money.
talk="n": 	Your patronage is appreciated.
talk="n": 	...I never knew you were the type to collect trading cards. Especially Gokuman ones.
talk="p": 	Oh. It's not for me. I guess you could call it a gift.
talk="p": 	I'd like a bottle of spring water, please.
talk="n": 	You got it. That will be #0.5.
talk="n": 	Thank you for your purchase!
con_Luna.xml
==============================
talk="n": 	Hello, dear.
talk="p": 	Hey. I'm just stopping by.
talk="n": 	Would you care for a cup of tea?
talk="p": 	I am kind of thirsty. What kind do you have?
talk="n": 	Peach, peppermint, elf dust, star powder, and some other flavors.
talk="p": 	Elf dust? Star powder?
talk="n": 	Oh, yes. Those are... exotic flavors like... apple and raspberry with different names.
talk="p": 	Okay, I'll have star powder then.
talk="n": 	We're out.
talk="p": 	I'm all set then.
talk="n": 	Okay. Make yourself at home.
talk="p": 	Thank you.
talk="n": 	Those are nice earrings. They remind me of herculean crystals.
talk="p": 	I don't think I've heard of those before.
talk="n": 	Oh, um. They are... crystals found in caves. They're really pretty.
talk="p": 	Huh.
talk="p": 	Hello.
talk="n": 	Hi, dear. Make yourself at home.
talk="p": 	Thank you.
talk="n": 	That is a nice dress. Is it spun out of celestial spider silk?
talk="p": 	What?
talk="n": 	Oh, um. You know... it's a fancy way of saying... cotton, yes. It's an old expression, sorry.
talk="p": 	...forgive me for asking, but do you practice magic?
talk="n": 	Shhhhh! We don't mention that here! Especially where others can hear. Come closer.
talk="n": 	How did you find out?
talk="p": 	You were acting strange. But, I was looking for a witch anyways. Can you help me?
talk="n": 	If you promise not to tell anyone who I am, I'll do what I can. Being a witch is heresy, especially in this town. I need to keep this top secret.
talk="p": 	You have my word. I need a potion that can transform a dog back into a human.
talk="n": 	Oooh. That's a tricky one. And it requires a lot of ingredients which I don't have. I'd be happy to brew it for you if you get the ingredients I don't have.
talk="p": 	Sounds like a deal.
talk="n": 	Okay. Here's a list of items needed for the potion. Good luck finding them.
talk="n": 	Oh, I almost forgot. One of the items on the list is to get someone with a good voice to sing the "Song of Transformation" and record it to CD. I'll also give you the lyrics sheet for that.
talk="n": 	You don't have all the ingredients yet. Consult the recipe I gave you.
talk="p": 	I have all the ingredients.
talk="n": 	Perfect. I'll get cracking on the potion. Wait here.
talk="TIME": 	30 minutes later...
talk="CD Player": 	...she's alone. And she is free...
talk="TIME": 	15 minutes later...
talk="n": 	All done! Here you go! Remember to promise not to tell anybody.
talk="p": 	Are the effects permanent and instantaneous?
talk="n": 	Yes and yes. Don't worry. I wouldn't have tricked you.
talk="n": 	You use the potion yet?
talk="p": 	What else can you do?
talk="n": 	I can summon creatures, create potions, and control the power of the flame.
talk="p": 	Whoa, can I see a demonstration?
talk="n": 	No. That might attract attention. I'm still under cover, remember?
talk="p": 	Right...
talk="p": 	Where did you learn magical arts from?
talk="n": 	I wasn't taught by anyone. You see, magic can only be learned by outcasts. People with little interaction with others. When I first discovered my power, I thought I was hallucinating. Later I found out it was real when someone else saw it by accident. As I tried more things, I learned more. I never told anyone, because the punishment for being found using magic is death. People don't like us magic users having an advantage in life.
talk="p": 	That's unfair. You guys should be treated like queens for having that power.
talk="n": 	Sadly, that's not the way the world is run.
con_Mahli.xml
==============================
talk="n": 	I've seen paupers as kings, puppets on strings, dance for the children who stare. You must have seen them everywhere.
talk="n": 	Heretic Priestess dwells on the weakness she sees. Fortune Teller, future seller, mystical powers emerge from the towers. Tortured spirits cry, fear is in their eyes, ghostly images die.
talk="n": 	Have a cup of tea, have another one, have a cup of tea! If you want to know about love you can ask the wee geezer. He can teach you telepathy, he can read your mind backwards.
talk="p": 	(Someone's had a bit too much to drink.)
talk="n": 	Uuuuuuuuuuuuuuuuuuuhhhhhhhhhh! I need another drink...
talk="p": 	I think you've had quite enough already.
talk="n": 	No! I need more! Get me more!
talk="p": 	What do you drink?
talk="n": 	Bob Billson's hard whiskey. None of that light stuff they sell at bars! I'm talking the kind you can only get in under the table deals at the casino! Whoops, shouldn't have said that...
talk="p": 	Can you help me with something?
talk="n": 	I can't do anything if I'm not drunk!
talk="p": 	I found some--
talk="n": 	Give it here! Glug, glug, glug. Hah!
talk="n": 	Oooooh!
talk="n": 	...Now you're here and now you're gone. Now you're back where you belong. Meet the wizard of the keys and he'll reveal the mysteries. Of Angels' Eggs and Octave Doctors, Radio Gnome and Love Projectors. Then he'll point up in the sky, you will see the Teapots flying down the Oily Way...
talk="p": 	This was not a good idea. Can you hear me?
talk="n": 	Oh, if I understood. Passing by so easily I'd reach you if I could.
talk="p": 	I'll take that as a yes. Since I did you a favor, can you help me with a robbery?
talk="n": 	Who would believe me now that my hands are free, that my hands are free? Now my hands are free from the ties, from the ties. Now I look forward to the future, where it lies. Here, now my head is clear, why should I look back?
talk="p": 	Cool, thanks for your cooperation.
talk="n": 	A great shining eye suspended in space shot rays through my face. Suddenly I saw everything there is to see and I was that eye! Sudden thoughts of ecstasy were horrible, I saw it all, I felt it all, I lived it all, I was afraid!
talk="n": 	MacArthur's Park is melting in the dark. All the sweet, green icing flowing down. Someone left the cake out in the rain. I don't think that I can take it because it took so long to bake it. And I'll never have that recipe again!
talk="n": 	Albert is smart, he's a genius! Someday he will reassess the world, and he'll still have time for lots of girls. All of the while he'll be scribbling things, genius things! Look at Albert isn't he a sight, growing, growing at the speed of light.
talk="n": 	Long came Wild Billy with his fancy friend. Said, "anybody wanta go on up to Greasy Lake?" It's about a mile down on the dark side of Route 88. I got a bottle of Rose, so let's try it. Threw light on and Billy and Davy dancin' in the moonlight. Said, "try some of this, it'll show you where you're at or at least it'll help you feel it."
con_Mao.xml
==============================
talk="p": 	Hello.
talk="n": 	Hi. Do you just like greeting strangers, or is there something you need?
talk="p": 	I'm taking a quick survey. What's your favorite color?
talk="n": 	Mine's magenta, the color of a refreshing glass of Pixie, the ultimate citrus drink.
talk="p": 	Thank you for your time.
talk="p": 	How is your day going?
talk="n": 	How kind of you to ask! It's been alright, but I haven't had my Mr. Thyme yet today. I'm missing that flavor sensation of 23 flavors. You have one, by chance?
talk="p": 	No, I don't. (It's like she's advertising the product.)
talk="p": 	What's the latest news around here?
talk="n": 	They're finally selling Loco-soda around here! I'm glad they brought such a classic soda back into the market. Thanks, Lambda Drinks Corporation!
talk="p": 	(I meant like actual news, but okay.)
talk="p": 	Are you Mao?
talk="n": 	I do own the name, yes.
talk="p": 	I've been talking with Jacques, and I'm here to convince you to take over the company.
talk="n": 	You know, I'd LOVE to take it over, but I feel like I won't be the best person for the position. I've seen the other candidates, and I realize I'm out of my league.
talk="p": 	That's not true. In fact, you're pretty much the only one Jacques was considering for taking the position.
talk="n": 	Nah, that can't be. Who'd want a poor girl to fill a rich man's job? Besides, despite me knowing a lot about the company, I have no experience.
talk="p": 	But Pierre's looking for someone with determination, loyalty, and enthusiasm, exactly the qualities you possess. Didn't he tell you this when you went in for an interview?
talk="n": 	I never interviewed. Jacques was trying to get me to come but I wouldn't. He isn't the best at persuading. But you, you've done and convinced me to apply for my dream position. Thanks! I'm going to apply now!
talk="p": 	I'll come with you. I've got to speak with Pierre too.
talk="n": 	Let's see what he says. I really, really, really hope I'll make it.
talk="p": 	How's working at your favorite company?
talk="n": 	It's fantastic! I am currently learning about the economics and fundamentals of business at a local college. I get more and more excited for my future job every day.
talk="p": 	I've never seen anybody as enthusiastic for a management job as you.
talk="p": 	You learn the secret recipe yet?
talk="n": 	I've learned steps 1 to 5 of a 42 step process. It's so complicated, I'm having trouble imagining how Pierre came up with it.
talk="p": 	Well, he is a genius.
talk="p": 	I see you are working hard.
talk="n": 	Yep! All while enjoying a refreshing Zesti, the best cola manufactured on all the planet.
talk="p": 	You should be head of the advertising department as well. You're good.
con_Masaru.xml
==============================
talk="n": 	Emere, what brings you here?
talk="p": 	I wanted to see how your work is going. You're always so busy.
talk="n": 	I've written 3 papers on the effects of Jolfutium on our water supply. I'm hoping to convince the mayor to redo our irrigation system that has been causing illness for years.
talk="p": 	Always a noble cause, I see.
talk="p": 	I need your help, Masaru.
talk="n": 	What is it? I'm in the middle of writing a paper about the photoelectric effect.
talk="p": 	Well, you see...
talk="p": 	...
talk="n": 	That Jasper! He's always so selfish, hurting the life of someone else just so he can feel slightly safer! I would be glad to assist Tanvir.
talk="p": 	I knew I could count on you!
talk="n": 	I'll need a few materials, first. Since the townspeople won't even let him within the walls of Nulato, I'll need a picture of Tanvir to show them to remind them of what he looks like. It needs to be large enough for the whole town to see when I speak in front of them. My wife Wen is open to paint a picture of him for you. You're a great artist and would do a great job painting him yourself, but let's be honest, your works take a long time to create, especially something of this scale. Wen is quick, so ask her. The second thing I'll need is a copy of the Cerzan to research and look for the passage Jasper used. Give me these, and we'll get Tanvir back in town.
talk="p": 	Alright!
talk="n": 	I still need both the large picture of Tanvir and a copy of the Cerzan.
talk="p": 	I have all you need to convince the public of Tanvir's innocence.
talk="n": 	Superb! Meet me at the church in Nulato and we'll have ourselves a good old debate.
talk="n": 	Emere! You're here. Now we can finally start.
talk="n": 	Excuse me, everyone! We're about to start.
talk="Audience member": 	Get on with your stunt, you heretic!
talk="Audience member": 	Yeah! Yeah! Don't preach your demonic principles to us!
talk="Jasper": 	It seems as though I've won before we even began. Give up, Masaru. You have no chance in changing these people's minds.
talk="p": 	Let this man speak! He's trying to save an innocent life!
talk="Audience member": 	Innocent? That thing's a monster! Keep it away from my family!
talk="n": 	Emere, please reveal the painting.
talk="Audience": 	(Silence)
talk="p": 	(Wen did an amazing job! It makes Tanvir look so peaceful.)
talk="n": 	You stupid people. You stopped your arguing after seeing Tanvir expressed as a beautiful person in the painting. Surely, your view on him has been skewed by a certain priest.
talk="Jasper": 	That's not true! He's the incarnation of the Demon as described in the Cerzan. You wouldn't dare say that our holy book is incorrect, would you Masaru?
talk="Audience member": 	Yeah! You must be one of the Demon's worshipers!
talk="n": 	Not at all. In fact, the Cerzan actually correct. I believe the passage Jasper read to you all is this: "...Goh encountered a split in the forest path. A being draped in furs came up to him and spoke, 'The path to the right leads to fortune and glory. The left path leads to doom and suffering. Which path will you choose?' Goh said not a word to him when he traveled down the left path. 'Fool!' the creature yelled. Suddenly, the creature drew close behind Goh and drew a pentagram faster than the eye could see. Goh screamed and his flesh boiled. Goh transformed into the creature. The creature transformed into Goh. The creature in Goh's body, trusted by the townsfolk, was able to cause havoc in the town for years and years without any notice. Goh was hunted and killed in the creature's body..."
talk="Jasper": 	Yes, that is the passage I read and it perfectly describes Tanvir. He is the "being draped in furs."
talk="n": 	Objection! How can you assume that a "being draped in furs" is a wolf man? The way it is worded, it sounds as if the being wears the fur instead of having fur. What being is famous for draping the fur of its kills on itself, the goblins, of course, not the wolf man!
talk="Audience member": 	That's a good point.
talk="Audience member": 	It is a little vague.
talk="Jasper": 	D-don't be ridiculous. You still have no proof against it being a wolf man! My point remains.
talk="n": 	Hold it! Even if it's not a goblin, how do you explain it using magic? Wolf men have never been blessed with the power of magic from the Goddess, nor given the power by the Demon in all of the Cerzan. But it reads that the creature, "drew a pentagram faster than the eye could see"
talk="Audience member": 	More and more, I'm believing this Masaru guy.
talk="Audience member": 	What if we made the wrong choice and refused shelter to one of the Goddess' creatures?
talk="Jasper": 	People! People! I can't believe that you'd believe a nonbeliever over a respected priest such as myself! He's spewing lies!
talk="n": 	I think you're the one spewing lies, Jasper. Tanvir did nothing to the town of Nulato during the years he was secretly housed here. In fact, I believe your town was doing quite well during the time.
talk="Jasper": 	But--
talk="Audience member": 	Let the poor man back!
talk="Audience member": 	He's innocent. We were wrong!
talk="Jasper": 	Fine! We'll let him back. Don't blame me if our town is cursed with misfortune over the next few years.
talk="Audience member": 	Hooray!
talk="Audience member": 	Woot!
talk="p": 	You did it, Masaru!
talk="n": 	It wouldn't have happened if you didn't take the initiative to help Tanvir, Emere. I didn't do it. WE did it.
talk="p": 	You did it, Masaru!
talk="n": 	It wouldn't have happened if you didn't take the initiative to help Tanvir, Emere. I didn't do it. WE did it.
talk="p": 	What's the latest paper you're writing?
talk="n": 	It's on the effects of different types of music on children.
talk="p": 	What do the studies show?
talk="n": 	Simple, repetitive music has a negative effect, complex music with varying tempos leads to increased academic ability in the future.
talk="n": 	It's on how learning another language helps people learn their own language's grammar better.
talk="p": 	Oh, that's neat.
con_Murtle.xml
==============================
talk="n": 	(Hey, traveler. Do you mind scratching my shell? I've got an itch I just can't scratch.)
talk="p": 	Cute! I will definitely help you out.
talk="n": 	(Your kindness is appreciated.)
talk="p": 	Hey, buddy.
talk="n": 	(Hi. Want to see a trick? I can do a barrel roll.
talk="p": 	Oh, that's adorable!
talk="n": 	(Hey. Could you do me a big favor and feed me some of that cabbage the farmer threw out? I'm hungry.)
talk="p": 	I'd do anything for someone as cute as you!
talk="p": 	Aw! You look so cute nibbling on that cabbage!
con_Mystics.xml
==============================
talk="p": 	Hi?
talk="Raziel": 	Look out, we're being invaded! Hang on to your hat, we're being raided!
talk="Taika": 	And Captain Capricorn, that's who's behind it. If nothing's there to find, you know he'll find it.
talk="Taika": 	Counting again and again from one to nine. Approaching and pushing away infinity. Oh sweet absurdity!
